title,hskLevel,videoUrl,sourceType
"你踩油门时发生的事情 - Shannon Odell",6,https://www.youtube.com/embed/RPN7n8fpZYE,shadowing
"经济能永远增长吗？",6,https://www.youtube.com/embed/JVX2WVwb_sg,shadowing
"一直不喝水你会变成怎样？- Mia Nacamulli",6,https://www.youtube.com/embed/jdtEYS7MYaU,shadowing
"为什么飞机比之前更慢？- Alex Gendler",6,https://www.youtube.com/embed/Ri4sTGhNenI,shadowing
"食物保质期并不像你想的那样 - Carolyn Beans",6,https://www.youtube.com/embed/_eEr4H6CYKc,shadowing
"我们为什么不用太阳能电池板覆盖沙漠？- Dan Kwartler",6,https://www.youtube.com/embed/ANToV5jg2tY,shadowing
"为什么有人是左撇子? - Daniel M. Abrams",6,https://www.youtube.com/embed/n4ZwxSRp4w0,shadowing
"如何将煮熟的鸡蛋复原 - Eleanor Nelsen",6,https://www.youtube.com/embed/j5tboGyGDb8,shadowing
"为世界供电需要多少电力？",6,https://www.youtube.com/embed/WUaZnuxN4-s,shadowing
"图灵测试：计算机能否被认为是人类？- Alex Gendler",6,https://www.youtube.com/embed/82n5EYMJhEU,shadowing
"太阳能电池板值得吗？ - Shannon Odell",6,https://www.youtube.com/embed/IdppeIY26Yc,shadowing
"哪种对你更好：真肉还是假肉？ - Carolyn Beans",6,https://www.youtube.com/embed/OPXDfytWlVc,shadowing
"我们为什么会哭？三种类型的眼泪 - Alex Gendler",6,https://www.youtube.com/embed/mopLTB6D_z0,shadowing
"我们为什么会发痒？- Emma Bryce",6,https://www.youtube.com/embed/v52b8h9Zids,shadowing
"在森林中捕食的鲨鱼 - Luka Seamus Wright",6,https://www.youtube.com/embed/ZzePj4bUvsk,shadowing
"地球上雷击最多的地方 - Graeme Anderson",6,https://www.youtube.com/embed/aTfFKriGlCk,shadowing
"我们能打造“完美”的森林吗？- Jean-François Bastin",6,https://www.youtube.com/embed/KDQHc9D-9uA,shadowing
"为什么地震如此难以预测？- Jean-Baptiste P. Koehl",6,https://www.youtube.com/embed/7tqvZ5gE-94,shadowing
"如果混凝土裂缝可以自我修复会怎么样？- Congrui Jin",6,https://www.youtube.com/embed/_JvYm4Zm9Cc,shadowing
"激发大屠杀的运动 - Alexandra Minna Stern 和 Natalie Lira",6,https://www.youtube.com/embed/SgtzSffldAU,shadowing
"你能相信你的记忆吗？- Sheila Marie Orfano",8,https://www.youtube.com/embed/Ec4lmMzs7xI,shadowing
"大西洋奴隶贸易：教科书鲜少告诉你的事 - Anthony Hazard",6,https://www.youtube.com/embed/PYjCj0TIyPE,shadowing
"拆迁、疾病与死亡：巴拿马运河的建造 - Alex Gendler",6,https://www.youtube.com/embed/xx6I1WjxcrY,shadowing
"日本民间传说： 自私的学者 - Iseult Gillespie",6,https://www.youtube.com/embed/MQZjJ7aBBpk,shadowing
"树能长多高？ - Valentin Hammoudi",6,https://www.youtube.com/embed/N6x4sdxKn2w,shadowing
"哺乳动物的三种不同分娩方式 - Kate Slabosky",6,https://www.youtube.com/embed/Wsjxee6bO1w,shadowing
"伊斯兰设计中的复杂几何学 - Eric Broug",6,https://www.youtube.com/embed/CjO1OsjT36c,shadowing
"打盹多久比较合适？- Sara C. Mednick",6,https://www.youtube.com/embed/bbg44xmKaeU,shadowing
"蒙古帝国的兴衰 - Anne F. Broadbridge",6,https://www.youtube.com/embed/w6B5QR63p6Q,shadowing
"我们为什么相爱？哲学探究 - Skye C. Cleary",6,https://www.youtube.com/embed/yZqWKHtBKXs,shadowing
"树懒为什么这么慢? - Kenny Coogan",6,https://www.youtube.com/embed/IeWFmKQQO4Y,shadowing
"斯多葛学派的哲学 - Massimo Pigliucci",6,https://www.youtube.com/embed/lk_fkRK2-54,shadowing
"谁是维斯塔贞女？她们的工作是什么？- Peta Greenfield",6,https://www.youtube.com/embed/64aBP1aiGV4,shadowing
"认识地球上最坚韧的动物——熊虫 - Thomas Boothby",6,https://www.youtube.com/embed/DJ0AMJQZgUQ,shadowing
"用你的手指可以数到几？剧透：远远大于 10）- James Tanton",5,https://www.youtube.com/embed/SKyYw8QiqLA,shadowing
"怀孕的惊人影响",6,https://www.youtube.com/embed/dxW4T3fkc8I,shadowing
"交配狂潮、囤精和窝袭：火蚁蚁后的生活 - Walter R. Tschinkel",6,https://www.youtube.com/embed/uj58rYRYquU,shadowing
"股票市场是如何运作的？- Oliver Elfenbaum",5,https://www.youtube.com/embed/xExBvWeLD1c,shadowing
"简释爱因斯坦的孪生悖论 - Amber Stuver",6,https://www.youtube.com/embed/hlSnlcj47Do,shadowing
"有多少种方法可以证明勾股定理？- Betty Fei",6,https://www.youtube.com/embed/VF4PuFv_4GM,shadowing
"如何高效地整理书架？ - Chand John",5,https://www.youtube.com/embed/pYBbIn1Ekxg,shadowing
"动物王国中的同类相食现象 - Bill Schutt",6,https://www.youtube.com/embed/Aj6eaa1Rpd0,shadowing
"我们为何，嗯……说话时……结巴？- Lorenzo García-Amaya",5,https://www.youtube.com/embed/c93A3nddyHk,shadowing
"世界为何没有被大便覆盖？ - Eleanor Slade 与 Paul Manning",6,https://www.youtube.com/embed/Xgu5lP2-zjE,shadowing
"希特勒是如何崛起的？- Alex Gendler 与 Anthony Hazard",6,https://www.youtube.com/embed/RF6paBUw_Ac,shadowing
"猫的行为为何如此奇怪？- Tony Buffington",5,https://www.youtube.com/embed/VADQ-i6HTJE,shadowing
"海洋中的鱼会灭绝吗？- Ayana Elizabeth Johnson 和 Jennifer Jacquet",6,https://www.youtube.com/embed/ljjTkK6B1j0,shadowing
"盒子里的节奏：卡洪鼓的故事 - Paul Jennings",5,https://www.youtube.com/embed/UI6XtuZY7-8,shadowing
"生物多样性为何如何重要？- Kim Preshoff",6,https://www.youtube.com/embed/-ZfZW5IjRhU,shadowing
"提高批判性思维能力的五个技巧 - Samantha Agoos",6,https://www.youtube.com/embed/chXSXJhwM9s,shadowing
"黄金从何而来？ - David Lunney",6,https://www.youtube.com/embed/hNWPK_YABkM,shadowing
"抑郁症是什么？ - Helen M. Farrell",6,https://www.youtube.com/embed/ULb1jxU2EAY,shadowing
"电池如何工作 - Adam Jacobson",6,https://www.youtube.com/embed/1lMzFz-qBNs,shadowing
"世界上最富有的人——穆萨一世 - Jessica Smith",6,https://www.youtube.com/embed/2c_F83_OYDI,shadowing
"如何建造科幻世界 - Kate Messner",6,https://www.youtube.com/embed/13nPBfyZ3eg,shadowing
"饮食对大脑的影响 - Mia Nacamulli",6,https://www.youtube.com/embed/X5cdZDoylxk,shadowing
"梵高《星空》背后令人惊奇的数学 - Natalya St. Clair",6,https://www.youtube.com/embed/fajq4m5vwEY,shadowing
"猫眼中的历史 - Eva-Maria Geigl",6,https://www.youtube.com/embed/rjr9hYecV1A,shadowing
"我是谁？ 一个哲学问题 - Amy Adkins",6,https://www.youtube.com/embed/QqMQcvT04cA,shadowing
"蜜蜂为何喜欢六边形？ - Zack Patterson 和 Andy Peterson",5,https://www.youtube.com/embed/SNNDmzLlpOI,shadowing
"爱因斯坦奇迹年 - Larry Lagerstrom",6,https://www.youtube.com/embed/7y55HSovFNk,shadowing
"中国兵马俑的传奇故事 - Megan Campisi 和 Pen-Pen Chen",6,https://www.youtube.com/embed/kuI-aE9ZgPo,shadowing
"大象为何能过目不忘 - Alex Gendler",6,https://www.youtube.com/embed/OGkSM41SUWY,shadowing
"如何读懂乐谱 - Tim Hansen",5,https://www.youtube.com/embed/y_asKzs29pI,shadowing
"玻璃为何是透明的？ - Mark Miodownik",6,https://www.youtube.com/embed/eqR1yDzQqBc,shadowing
"如何通过折纸前往月球 - Adrian Paenza",5,https://www.youtube.com/embed/1VfQpJvvQ7Y,shadowing
"什么造就了英雄？- Matthew Winkler",7,https://www.youtube.com/embed/UOk7lOZ2IfU,shadowing
"足球中的物理：不可思议的任意球 - Erez Garty",6,https://www.youtube.com/embed/tMgvE5ojsEg,shadowing
"炒作到1000多元的肯德基可达鸭玩具，拆开看看值不值",6,https://www.youtube.com/embed/lX83bFJYZNE,shadowing
"【味全TV】食慾的由來",6,https://www.youtube.com/embed/FHd-FDEW7sk,shadowing
"南极秦岭站新能源系统启用 | CCTV中文《新闻直播间》",7,https://www.youtube.com/embed/Pa4A7bZDiBw,shadowing
"10多块钱的游戏机，竟然被种草了",5,https://www.youtube.com/embed/T3itWric9yM,shadowing
"沉船后定位求救全靠它，卫星应急示位标",6,https://www.youtube.com/embed/Gl0Fuzs1J2I,shadowing
"Labubu彻底拆开，看看这东西成本值多少",5,https://www.youtube.com/embed/UzH1nQr0tuM,shadowing
"小米su7门把手拆解，就是俩微动开关+灯",6,https://www.youtube.com/embed/PL41CuGJAWc,shadowing
"内置陀螺仪的平衡小猪，网红小玩具拆解",5,https://www.youtube.com/embed/iJh1ebKK0zE,shadowing
"2002年SONY制造的PDA设备赏玩与拆解",6,https://www.youtube.com/embed/Cg20DbMSWG4,shadowing
"898元的手机稳定器？拆解大疆OSMOMOBILE8看值不值",6,https://www.youtube.com/embed/5MSkH8Lpogg,shadowing
"一个视频让你知道3D扫描仪的功能和玩法",6,https://www.youtube.com/embed/LIzlDLP5MUY,shadowing
"电动开罐器？？？开某些罐头甚至还好用……",5,https://www.youtube.com/embed/iouf_Z9FB_0,shadowing
"从设计到成品自己全搞定，一位宅男造出的数码产品吉祥机",5,https://www.youtube.com/embed/BkOrlweWhAo,shadowing
"这个叫Etch A Sketch的小玩具，全球竟然卖了上亿台",5,https://www.youtube.com/embed/1X3_vX60nY0,shadowing
"日本人嘬的电子烟和咱们的有啥区别？",6,https://www.youtube.com/embed/hITCe9KtLCw,shadowing
"LUXGEN 7 MPV電視廣告【機器人篇】",6,https://www.youtube.com/embed/-Pujs3RWOiM,shadowing
"北極 vs. 南極：誰比較冷 ？",5,https://www.youtube.com/embed/8QlAdQ6DQU8,shadowing
"大自然在说话：蒋雯丽 大自然母亲|保护国际基金会（CI)",5,https://www.youtube.com/embed/jEDyxkJbH1U,shadowing
"大自然在说话：葛优 雨林|保护国际基金会（CI)",5,https://www.youtube.com/embed/bRct4cUoYyE,shadowing
"大自然在说话：周迅 水|保护国际基金会（CI)",4,https://www.youtube.com/embed/vUZs0w1NdbI,shadowing
"大自然在说话：汤唯 花|保护国际基金会（CI)",4,https://www.youtube.com/embed/38iGwrl5wOU,shadowing
"台灣精品",5,https://www.youtube.com/embed/ORLqhSZL4uI,shadowing
"【Panda & Friends】Ep1: Tiny panda cubs show surprising strong vitality | iPanda",5,https://www.youtube.com/embed/GBs9nvK-wfE,shadowing
"Microsoft '微软' China -- Genuine! It's Not the Same (真！就不一样) Commercial 2010",5,https://www.youtube.com/embed/SS1Y3JuVjzM,shadowing
"【味全TV】微波爐 行？不行？",6,https://www.youtube.com/embed/aw_Z6STkOxc,shadowing
"【來點兒科學】金屬為什麼不能進微波爐？",6,https://www.youtube.com/embed/P80z3LeGd8w,shadowing
"Panasonic 超節能電冰箱",6,https://www.youtube.com/embed/hzQTuaELEvw,shadowing
"【味全TV】預見2030",6,https://www.youtube.com/embed/09U0iBbLr_o,shadowing
"百度音樂聯手吳莫愁，音樂就要極致",5,https://www.youtube.com/embed/y5Akj77MlbU,shadowing
"太陽能發電窗 奈米科技接收發電",6,https://www.youtube.com/embed/IeKrQyaIKG4,shadowing
"BBC中文网视频：中国大熊猫落户苏格兰",5,https://www.youtube.com/embed/M0mjRWm0-oA,shadowing
"Q版趨勢科技創辦人張明正談雲端是什麼科技?",6,https://www.youtube.com/embed/I3HrStU4LxI,shadowing
"【味全TV】防癌食品的購物清單",6,https://www.youtube.com/embed/-7iQKuqZ7X4,shadowing
"【味全TV】有些蔬果 煮熟了更好",8,https://www.youtube.com/embed/iFW7RaTZd-o,shadowing
"【味全TV】戒不了的甜癮",5,https://www.youtube.com/embed/VPJA1IwUMJg,shadowing
"求職向前衝【第三篇 如何靠自我介紹與自傳加分?! 】邵庭X阿本主演",6,https://www.youtube.com/embed/nJmuzT1h_1g,shadowing
"求職向前衝【第一篇 做好基本功 】邵庭X阿本主演",5,https://www.youtube.com/embed/j4WRiTYm0LY,shadowing
"令人驚呆的面試技巧 - 魯蛇辦公室",4,https://www.youtube.com/embed/JO95L6EowPM,shadowing
"BBC中文网视频：一周科技动态",6,https://www.youtube.com/embed/udlx1gWLLXE,shadowing
"【60秒, Cheers!】求職面試如何脫穎而出? 統一超商人資部長謝慶勳告訴你",4,https://www.youtube.com/embed/y-fU0uuESBQ,shadowing
"年齡歧視篇",4,https://www.youtube.com/embed/H6ap_xnbtUE,shadowing
"求職向前衝【第二篇 面試前彩排必勝招 】邵庭X阿本主演",5,https://www.youtube.com/embed/6tRnsLkCy98,shadowing
"求職向前衝【第四篇 如何讓履歷被看見?! 】邵庭X阿本主演",4,https://www.youtube.com/embed/H-9jUVG3lag,shadowing
"台北人力銀行 動畫30秒",4,https://www.youtube.com/embed/Q4zIn5bbU9c,shadowing
"BBC中文网视频：一周艺坛消息",6,https://www.youtube.com/embed/h3aZ_U3TF5Y,shadowing
"2009 新唐人全世界中國菜廚技大賽",7,https://www.youtube.com/embed/fosB3nmfgx0,shadowing
"BBC中文网视频：色彩缤纷的苏格兰堡垒",6,https://www.youtube.com/embed/o7kqrjANdQo,shadowing
"BBC中文网视频：英国大学教育展",5,https://www.youtube.com/embed/TshByc_igrg,shadowing
"新華社》亞洲首家「憤怒鳥」主題樂園開幕",5,https://www.youtube.com/embed/VGaWGLIK7Jg,shadowing
"機器人做刀削麵! 動作快又吸睛",5,https://www.youtube.com/embed/_LsD9v6w1sw,shadowing
"【中天】06/24法老詛咒？　木乃伊陪葬雕像自轉180度",5,https://www.youtube.com/embed/I1D15UhFeVI,shadowing
"美国航天局倾力寻找“生命之星”",7,https://www.youtube.com/embed/qDSmIZJSruE,shadowing
"🔥冬日限定美食，腊肉炒冬笋｜你吃了吗？笋子嫩，不涩口，腊肉香，不咸，大火爆炒，轻松搞定，懒人必备下饭菜#家常菜 #美食 #美食教程 #下饭菜 #腊肉炒冬笋 #冬笋 #冬笋炒腊肉 #笋子炒腊肉 #下酒菜",5,https://www.youtube.com/embed/ZkGI8gvtpWQ,shadowing
"超下饭的干锅肘子，干香十足软糯入味，3步就学会，还附带1款干锅酱的简单做法#家常菜 #下饭菜 #下饭神器 #美食教程 #美食 #下酒菜 #干锅 #干锅菜 #干锅肘子 #肘子 #肘子的神仙吃法 #肘子肉",6,https://www.youtube.com/embed/xi_TvASi1Vs,shadowing
"荷包蛋的神仙吃法，肉末煎蛋炒口蘑，浓郁酱汁包裹住煎鸡蛋，外酥里嫩，口口爆汁 #肉末煎蛋 #肉末荷包蛋 #荷包蛋的创意吃法 #炒口蘑 #煎蛋的创意吃法 #家常菜 #下饭菜 #下饭神器 #美食教程 #美食",5,https://www.youtube.com/embed/9Ihk4P41Qhw,shadowing
"超级下饭的酸豆角炒肉末，这酸爽直接让我多干三碗饭🍚听这滋滋声！酸豆角炒肉末拌饭绝了，拌面条夹馒头都很香#家常菜 #下酒菜 #下饭菜 #美食 #美食教程 #肉末酸豆角 #酸豆角炒肉末 #酸豆角 #快手菜",5,https://www.youtube.com/embed/1Dno7aUYFCs,shadowing
"爆炒猪肚，怎么炒好吃咬得动，原来不能生炒，要提前炖软？猪肚如何清洗？猪肚要炖多久？小炒煮肚条，软烂入味，还不腥 #青椒猪肚 #爆炒肚条 #爆炒猪肚 #爆炒肚丝 #家常菜 #下酒菜 #美食教程 #下饭菜",5,https://www.youtube.com/embed/AwC1PNcoOFw,shadowing
"黑椒杏鲍菇炒牛肉做法｜厨师长不外传的㊙️方｜杏鲍菇这样处理比肉还香｜黑椒牛肉终极嫩滑术｜牛肉最简单的腌制方法｜附黑椒浇汁的做法#家常菜 #下酒菜 #美食 #美食教程 #黑椒牛肉 #炒牛肉 #杏鲍菇牛肉",6,https://www.youtube.com/embed/Y9oZx2eDFAw,shadowing
"木耳怎么炒才不会爆炸？2个步骤一定要记牢！教你一个黑木耳快速泡发的方法，几分钟就能用，洋葱木耳炒肉片，味道香，木耳脆，洋葱软，肉片肥而不腻#木耳炒肉 #木耳 #洋葱炒肉 #家常菜 #下饭菜 #美食教程",5,https://www.youtube.com/embed/pyLDuRLXuMA,shadowing
"猪肚鸡汤怎么做，汤浓味美毫无腥味？关键在于猪肚的清洗和处理，猪肚汤补脾养胃，补中益气，汤浓肉香猪肚烂。猪肚鸡汤，到底要炖多久#鸡汤 #猪肚汤 #猪肚 #猪肚鸡 #猪肚鸡汤 #猪肚煲鸡汤 #煲汤 #美食",6,https://www.youtube.com/embed/-R8P9Y4A9Jk,shadowing
"香菇蒸滑鸡怎么做又嫩有香？用鸡腿肉蒸就够了，大厨教你关键技巧，鸡腿如何去骨，怎么腌制鸡腿肉才鲜嫩不腥，蒸多久才香？ #香菇蒸滑鸡 #香菇蒸鸡腿 #冬菇蒸滑鸡 #香菇蒸鸡#下饭菜 #美食教程 #蒸鸡腿肉",5,https://www.youtube.com/embed/-9J3-3qI_kU,shadowing
"口蘑黄瓜炒虾仁，想要好吃，炒的时候一定不能出水。黄瓜口蘑都不能出水，一定要提前处理。虾仁鲜黄瓜脆，虾仁弹牙爽口 #黄瓜炒虾仁 #黄瓜炒口蘑 #口蘑虾仁 #黄瓜虾仁 #虾仁 #美食教程 #美食 #下饭菜",6,https://www.youtube.com/embed/YWfwNVqr6Oo,shadowing
"天热要多喝汤，冬瓜豆腐肉片汤，最简单好喝的做法，肉片汤鲜味美，清淡不不寡淡，肉片嫩，冬瓜软，豆腐香 #冬瓜汤 #冬瓜肉片汤 #冬瓜豆腐汤 #肉片汤 #家常菜 #美食教程 #快手汤 #美食#冬瓜 #煲汤",6,https://www.youtube.com/embed/o3UmMlU6fho,shadowing
"0添加的椒盐蒸鸡腿，不加一滴油，也不加味精，大火蒸15分钟，鸡腿鲜嫩多汁，软烂入味，一点都不腥#椒盐蒸鸡腿 #蒸鸡腿 #清蒸鸡腿 #口蘑鸡腿 #家常菜 #蒸菜 #美食教程 #鸡腿 #美食 # 椒盐鸡腿",5,https://www.youtube.com/embed/ObzWg4kTao8,shadowing
"最健康的猪肉做法，香而不腻的白切肉，教你4种蘸料做法越吃越香，厨房小白也能轻松搞定，零失败白切梅花肉教程#家常菜 #美食教程 #美食 #白切肉 #白切猪肉 #白肉 #蘸料 #白切肉蘸料 #蘸水 #凉菜",5,https://www.youtube.com/embed/LHb9gV9BeqQ,shadowing
"四川名菜：麻辣鸡丝不油炸做法，比牛肉干还香，孜然味的干煸鸡肉丝，味道一绝，越嚼越香，舌尖上的非遗菜#麻辣鸡丝 #干煸鸡丝 #鸡胸肉的神仙吃法 #下饭菜 #四川菜 #川菜 #名菜 #美食教程 #下饭菜",6,https://www.youtube.com/embed/H3x_gho-Vhs,shadowing
"挑战全网最嫩凉拌猪肝！科学揭秘正确方法，99%的人第一步就错。猪肝为什么一煮就老？背后的奥秘是什么，万能凉拌汁的做法 #凉拌猪肝 #猪肝做法 #猪肝怎么做 #猪肝新吃法 #家常菜 #下饭菜 #美食教程",5,https://www.youtube.com/embed/Z2yS8D-f4hY,shadowing
"这个凉面我能吃一个夏天，再也不用出去买，顶级鸡丝凉面的做法，优化了调料，在家也能做，面条劲道鸡丝不柴 #凉面 #鸡丝凉面 #凉面的做法 #凉面凉拌面 #凉拌面",5,https://www.youtube.com/embed/TWS7z-AhOcI,shadowing
"「青椒牛柳」2分钟出锅！完美料汁+嫩滑牛肉+脆甜青椒，米饭杀手来了！牛肉想要变嫩，只需要加一物，它就生姜。这样做的黑椒牛柳，鲜嫩多汁，椒香浓郁#家庭菜 #下饭菜 #下酒菜 #黑椒牛柳 #炒牛柳 #牛肉",6,https://www.youtube.com/embed/g-u0OmwJW-c,shadowing
"2个皮蛋+1个咸蛋的神仙组合！三鲜汤这样做，不加任何味精，也特别鲜美，鲜味来自食材本身，虾仁豆腐汤，汤色金黄 #咸蛋三鲜汤 #皮蛋三鲜汤 #皮蛋汤 #三鲜汤 #虾仁豆腐汤 #家常菜 #美食 #美食教程",5,https://www.youtube.com/embed/0485I9Wgovg,shadowing
"茄子别总红烧了！这个蒸着吃的做法绝绝子，烧椒拌手撕茄子，茄子如何不变色？只要多做一步！附烧椒酱配方#烧椒茄子 #手撕茄子 #凉拌茄子 #烧椒拌茄子 #青椒茄子 #凉菜 #凉拌菜 #茄子不变色 #家庭菜",6,https://www.youtube.com/embed/frXeBd5lVfI,shadowing
"皮蛋拌豆腐的家常做法，千万不能把皮蛋蒸熟，揭秘皮蛋可生吃的科学道理，附万能凉拌汁的做法，拌啥都好吃 #皮蛋拌豆腐 #凉拌皮蛋 #凉拌皮蛋豆腐 #凉拌皮蛋家常做法 #皮蛋豆腐 #凉菜 #凉拌菜 #拌豆腐",6,https://www.youtube.com/embed/io5XrRv_GNY,shadowing
"猪脚这样做香到舔盘，很多人都没有吃过的，完全不一样的猪脚饭，黄焖猪脚饭，详细配方大公布，学会就可以开店#猪脚饭 #猪肘饭 #黄焖猪脚饭 #下饭菜 #美食教程 #开店 #下酒菜 #特色美味 #特色小吃",5,https://www.youtube.com/embed/_PbKsHaNMcM,shadowing
"兔兔这么可爱，怎么做才炒好吃？3个方法让兔肉没有腥味，大厨教你双椒兔丁酒店做法，兔肉干香麻辣过瘾 #双椒兔丁 #麻辣兔丁 #香辣兔丁 #鲜椒兔 #兔丁 #下饭菜 #美食教程 #家常菜 #美食 #下酒菜",5,https://www.youtube.com/embed/2sqWoe2iBZI,shadowing
